Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The primary sector includes activities related to,Manufacturing,Services,Extraction of natural resources,Trade,Extraction of natural resources
MCQ,2,Which sector is also called agricultural sector?,Primary,Secondary,Tertiary,Quaternary,Primary
MCQ,3,Manufacturing of goods belongs to which sector?,Primary,Secondary,Tertiary,Public,Secondary
MCQ,4,Transport and communication belong to,Primary sector,Secondary sector,Tertiary sector,Quaternary sector,Tertiary sector
MCQ,5,Which sector provides support services?,Primary,Secondary,Tertiary,Private,Tertiary
MCQ,6,Which sector contributes the most to India’s GDP?,Primary,Secondary,Tertiary,Public,Tertiary
MCQ,7,Which sector employs the largest number of people in India?,Primary,Secondary,Tertiary,Public,Primary
MCQ,8,Which activity is part of primary sector?,Fishing,Steel making,Teaching,Banking,Fishing
MCQ,9,Which activity belongs to secondary sector?,Mining,Farming,Textile manufacturing,Trade,Textile manufacturing
MCQ,10,Which activity belongs to tertiary sector?,Dairy farming,Weaving cloth,Teaching,Cement making,Teaching
MCQ,11,The organised sector has,Low wages,No job security,Fixed working hours,No benefits,Fixed working hours
MCQ,12,Which sector follows labour laws?,Unorganised,Organised,Private,None,Organised
MCQ,13,The unorganised sector is characterised by,Job security,Fixed income,No rules and regulations,Social security,No rules and regulations
MCQ,14,Which of the following is an example of unorganised sector?,Government office,Private school,Street vendor,Factory,Street vendor
MCQ,15,Public sector enterprises are owned by,Individuals,Private companies,Government,Foreigners,Government
MCQ,16,Which of the following is a public sector enterprise?,Reliance,Jio,Indian Railways,Tata Steel,Indian Railways
MCQ,17,Private sector enterprises are owned by,Government,Individuals,Public authority,Local bodies,Individuals
MCQ,18,Which sector aims at social welfare?,Private,Public,Unorganised,Primary,Public
MCQ,19,Which sector is responsible for providing basic facilities?,Private,Public,Unorganised,Secondary,Public
MCQ,20,Which sector includes government hospitals?,Private,Public,Organised,Unorganised,Public
MCQ,21,Which sector is expanding rapidly in India?,Primary,Secondary,Tertiary,Public,Tertiary
MCQ,22,Which sector is known as service sector?,Primary,Secondary,Tertiary,Public,Tertiary
MCQ,23,Seasonal unemployment is mostly found in,Primary sector,Secondary sector,Tertiary sector,Public sector,Primary sector
MCQ,24,Disguised unemployment exists mainly in,Industry,Services,Agriculture,Public sector,Agriculture
MCQ,25,Which sector uses natural products as raw material?,Secondary,Tertiary,Primary,Public,Primary
MCQ,26,Which sector converts raw material into goods?,Primary,Secondary,Tertiary,Public,Secondary
MCQ,27,Which sector helps in development of other sectors?,Primary,Secondary,Tertiary,Unorganised,Tertiary
MCQ,28,Which sector includes teachers and doctors?,Primary,Secondary,Tertiary,Private,Tertiary
MCQ,29,Which sector has low income and no job security?,Organised,Public,Unorganised,Private,Unorganised
MCQ,30,Which sector provides employment opportunities?,Only primary,Only secondary,Only tertiary,All sectors,All sectors
MCQ,31,MGNREGA is related to,Organised sector,Unorganised sector,Employment generation,Privatisation,Employment generation
MCQ,32,Which sector includes construction work?,Primary,Secondary,Tertiary,Public,Secondary
MCQ,33,Which sector is dependent on primary sector?,Tertiary,Secondary,Public,Private,Secondary
MCQ,34,Which of the following is a service?,Farming,Mining,Teaching,Manufacturing,Teaching
MCQ,35,Which sector dominates employment in developed countries?,Primary,Secondary,Tertiary,Unorganised,Tertiary
MCQ,36,Which sector is affected most by natural calamities?,Primary,Secondary,Tertiary,Public,Primary
MCQ,37,Which sector produces goods for direct use?,Primary,Secondary,Tertiary,Public,Primary
MCQ,38,Which sector has factories?,Primary,Secondary,Tertiary,Public,Secondary
MCQ,39,Which sector is essential for economic development?,Primary only,Secondary only,Tertiary only,All sectors,All sectors
MCQ,40,Which sector is controlled by government?,Private,Public,Unorganised,Primary,Public
MCQ,41,Which sector includes banking?,Primary,Secondary,Tertiary,Public,Tertiary
MCQ,42,Which sector provides electricity?,Private,Public,Unorganised,Primary,Public
