Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the central figure in "A Truly Beautiful Mind"?,Newton,Einstein,Galileo,Curie,Einstein
MCQ,2,Albert Einstein was born in which country?,USA,Germany,France,Austria,Germany
MCQ,3,In which year was Albert Einstein born?,1870,1875,1879,1885,1879
MCQ,4,Albert Einstein was weak in which subject during childhood?,Science,Mathematics,Languages,Physics,Languages
MCQ,5,What did Einstein enjoy doing as a child?,Playing sports,Reading books,Solving puzzles,Music,Solving puzzles
MCQ,6,Which musical instrument did Einstein play?,Piano,Drums,Guitar,Violin,Violin
MCQ,7,Einstein’s mother wanted him to become a?,Scientist,Engineer,Musician,Doctor,Musician
MCQ,8,Which quality made Einstein different?,Arrogance,Curiosity,Laziness,Anger,Curiosity
MCQ,9,Einstein faced difficulty in school because he was?,Slow learner,Rebellious,Disobedient,Arrogant,Rebellious
MCQ,10,Which exam did Einstein fail initially?,School exam,University exam,Army exam,Entrance exam,Entrance exam
MCQ,11,Einstein later became famous for his work in?,Chemistry,Biology,Physics,Geography,Physics
MCQ,12,Which theory made Einstein world famous?,Atomic theory,Relativity,Gravity,Evolution,Relativity
MCQ,13,Einstein received the Nobel Prize in?,Physics,Chemistry,Peace,Literature,Physics
MCQ,14,In which year did Einstein receive the Nobel Prize?,1915,1921,1930,1945,1921
MCQ,15,Einstein was known for his views on?,War and peace,Politics only,Economics,Sports,War and peace
MCQ,16,Einstein believed science should be used for?,Destruction,Power,Human welfare,Money,Human welfare
MCQ,17,Einstein opposed which weapon?,Guns,Tanks,Atomic bomb,Chemical weapons,Atomic bomb
MCQ,18,Einstein was a supporter of?,Violence,War,Peace,Racism,Peace
MCQ,19,Einstein migrated to which country?,UK,France,USA,Italy,USA
MCQ,20,Einstein was a victim of which discrimination?,Gender,Racial,Religious,Political,Religious
MCQ,21,Which organisation did Einstein support?,UN,League of Nations,Peace movements,Army,Peace movements
MCQ,22,Einstein’s hairstyle symbolises?,Fashion,Carelessness,Uniqueness,Poverty,Uniqueness
MCQ,23,Einstein believed imagination was more important than?,Knowledge,Wealth,Power,Education,Knowledge
MCQ,24,Einstein’s ideas helped in the development of?,Computers,Atomic energy,Space travel,Chemistry,Atomic energy
MCQ,25,Einstein was also a?,Poet,Philosopher,Musician,Engineer,Philosopher
