Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,What was Gautama Buddha's birth name?,Siddhartha Gautama,Chandragupta,Ashoka,Harsha,Siddhartha Gautama
MCQ,2,Where was Siddhartha Gautama born?,Lumbini,Bodh Gaya,Benares,Kushinagar,Lumbini
MCQ,3,Where did Buddha deliver his first sermon?,Bodh Gaya,Benares,Kushinagar,Lumbini,Benares
MCQ,4,What was Kisa Gotami's main problem?,She was poor,Her only son had died,She was sick,She had no home,Her only son had died
MCQ,5,What did Kisa Gotami request from Buddha?,A cure for her son,A medicine to bring her son back to life,A blessing,Guidance on meditation,A medicine to bring her son back to life
MCQ,6,What condition did Buddha set for providing the medicine?,Bring a handful of mustard seeds,Find a house where no one has died,Both A and B,Fast for seven days,Both A and B
MCQ,7,What realization did Kisa Gotami come to after her quest?,She was the only one suffering,Death is common to all,She could bring her son back,She should leave her village,Death is common to all
MCQ,8,What is the ultimate fate of all living beings according to Buddha?,Eternal life,Reincarnation,Death and decay,Ascension to heaven,Death and decay
MCQ,9,What does Buddha say about grieving?,It is necessary,It leads to peace,It increases pain and suffering,It is a sign of weakness,It increases pain and suffering
MCQ,10,What should one do to attain peace according to Buddha?,Seek revenge,Accumulate wealth,Draw out the arrow of lamentation,Ignore suffering,Draw out the arrow of lamentation
MCQ,11,What does the term 'Buddha' mean?,The Enlightened One,The Warrior,The Teacher,The Healer,The Enlightened One
MCQ,12,At what age did Siddhartha leave his palace?,16,25,29,35,25
MCQ,13,What did Siddhartha see that led him to seek enlightenment?,A sick man,An old man,A funeral procession,All of the above,All of the above
MCQ,14,What tree did Siddhartha meditate under?,Banyan tree,Peepal tree,Mango tree,Neem tree,Peepal tree
MCQ,15,Where is Benares located?,In Bihar,In Uttar Pradesh,In Madhya Pradesh,In Bengal,In Uttar Pradesh
MCQ,16,What did Kisa Gotami think initially?,Only she was suffering,Death is common to all,She could save her son,Life is eternal,Only she was suffering
MCQ,17,What did Buddha teach about death?,It can be avoided,It is inevitable for all,It only happens to others,It is a punishment,It is inevitable for all
MCQ,18,What is the 'Middle Path' in Buddhism?,Extreme asceticism,Indulgence in pleasures,A balanced approach,Complete isolation,A balanced approach
MCQ,19,What does Buddha say about attachment?,It leads to happiness,It is necessary,It leads to suffering,It is irrelevant,It leads to suffering
MCQ,20,What lesson did Buddha impart to Kisa Gotami?,To seek revenge,To accept impermanence,To isolate herself,To accumulate wealth,To accept impermanence
MCQ,21,What is the significance of the mustard seed?,It represents wealth,It symbolizes life,It signifies commonality of death,It denotes health,It signifies commonality of death
