Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Forests are important because they,Provide oxygen,Maintain ecological balance,Provide timber only,Increase rainfall only,Maintain ecological balance
MCQ,2,Which of the following is a renewable resource?,Coal,Petroleum,Forests,Minerals,Forests
MCQ,3,Which species is on the verge of extinction?,Normal species,Endangered species,Rare species,Endemic species,Endangered species
MCQ,4,Which of the following is an endemic species?,Tiger,Asiatic lion,Kangaroo,Elephant,Asiatic lion
MCQ,5,Which category includes animals with small population?,Endangered,Rare,Normal,Extinct,Rare
MCQ,6,Species that no longer exist are called,Endangered,Rare,Extinct,Endemic,Extinct
MCQ,7,Which act was introduced to protect wildlife?,Forest Act,Wildlife Protection Act,Environmental Act,Biodiversity Act,Wildlife Protection Act
MCQ,8,The Wildlife Protection Act was passed in,1970,1972,1980,1985,1972
MCQ,9,Reserved forests are,Open for use,Protected by villagers,Most protected forests,Least protected forests,Most protected forests
MCQ,10,Which forest category allows limited use?,Reserved forest,Protected forest,Unclassed forest,Sacred forest,Protected forest
MCQ,11,Unclassed forests are found mainly in,Northern plains,Western Ghats,North-Eastern states,Deccan Plateau,North-Eastern states
MCQ,12,Which group depends most on forests?,Industrialists,Urban people,Tribal communities,Farmers,Tribal communities
MCQ,13,Which movement aimed to protect forests?,Green Revolution,Chipko Movement,Swadeshi Movement,Narmada Bachao,Chipko Movement
MCQ,14,Chipko Movement was started in,Uttarakhand,Assam,Rajasthan,Odisha,Uttarakhand
MCQ,15,Who played a major role in Chipko Movement?,Medha Patkar,Sunderlal Bahuguna,Mahatma Gandhi,B R Ambedkar,Sunderlal Bahuguna
MCQ,16,Which movement focused on saving sal forests?,Chipko,Appiko,Narmada Bachao,Bishnoi,Appiko
MCQ,17,Appiko Movement took place in,Kerala,Karnataka,Assam,Uttarakhand,Karnataka
MCQ,18,Which community protected forests in Rajasthan?,Gonds,Bishnoi,Santhals,Baigas,Bishnoi
MCQ,19,Deforestation leads to,Soil conservation,Ecological balance,Soil erosion,Increased rainfall,Soil erosion
MCQ,20,Which is a cause of depletion of forests?,Afforestation,Overgrazing,Conservation,Social forestry,Overgrazing
MCQ,21,Which species is normally found in a particular region?,Endangered,Rare,Endemic,Extinct,Endemic
MCQ,22,Which policy emphasized sustainable forest use?,National Forest Policy 1952,National Forest Policy 1988,Forest Act 1927,Wildlife Act 1972,National Forest Policy 1988
MCQ,23,Which forest category is owned by government?,Private forest,Community forest,Reserved forest,Sacred forest,Reserved forest
MCQ,24,Joint Forest Management involves,Government only,Villagers only,Government and locals,NGOs only,Government and locals
MCQ,25,Which animal is critically endangered?,Cow,Dog,Tiger,Goat,Tiger
MCQ,26,Which of the following is a biosphere reserve?,Corbett,Kaziranga,Nilgiri,Sundarbans,Nilgiri
MCQ,27,National parks are meant for,Human settlement,Industrial use,Wildlife conservation,Agriculture,Wildlife conservation
MCQ,28,Which one is NOT a wildlife sanctuary?,Gir,Periyar,Sundarbans,Delhi Zoo,Delhi Zoo
MCQ,29,Which forest type covers largest area in India?,Tropical evergreen,Tropical deciduous,Montane,Mangrove,Tropical deciduous
MCQ,30,Which animal is protected in Gir forest?,Elephant,Lion,Tiger,Rhinoceros,Lion
MCQ,31,Which human activity affects forests most?,Afforestation,Mining,Conservation,Plantation,Mining
MCQ,32,Poaching refers to,Animal protection,Illegal hunting,Forest plantation,Animal breeding,Illegal hunting
MCQ,33,Which organisation works for wildlife protection?,WHO,WWF,UNICEF,IMF,WWF
MCQ,34,Which of the following is a sacred grove?,Temple forest,National park,Reserved forest,Protected forest,Temple forest
MCQ,35,Which species is NOT endangered?,Tiger,Dodo,Asiatic lion,Cow,Cow
MCQ,36,Forest resources are important for,Ecological balance,Economic growth,Social needs,All of these,All of these
MCQ,37,Which state has maximum forest cover?,Punjab,Haryana,Madhya Pradesh,Rajasthan,Madhya Pradesh
MCQ,38,Wildlife includes,Only animals,Only plants,Both plants and animals,Only birds,Both plants and animals
MCQ,39,Which act banned hunting in India?,Forest Act,Wildlife Protection Act,Environmental Act,Biodiversity Act,Wildlife Protection Act
MCQ,40,The main cause of wildlife extinction is,Climate change,Human activities,Natural disasters,Migration,Human activities
MCQ,41,Which practice helps forest conservation?,Deforestation,Afforestation,Mining,Overgrazing,Afforestation
MCQ,42,Social forestry aims at,Industrial use,Community benefit,Commercial profit,Deforestation,Community benefit
MCQ,43,Which movement saved trees by hugging them?,Appiko,Chipko,Narmada,Bishnoi,Chipko
MCQ,44,Forest and wildlife conservation is necessary for,Humans only,Animals only,Environment only,All living beings,All living beings
MCQ,45,Which of the following is an extinct species?,Tiger,Lion,Dodo,Elephant,Dodo
MCQ,46,Forest fires cause,Forest growth,Wildlife loss,Soil fertility,Rainfall,Wildlife loss
MCQ,47,Which is an example of protected forest?,Reserved forest,National park,Community forest,Private forest,National park
MCQ,48,Which community practice conserved forests?,Shifting cultivation,Sacred groves,Mining,Urbanisation,Sacred groves
MCQ,49,The main aim of wildlife conservation is,Economic benefit,Biodiversity protection,Urban growth,Industrialisation,Biodiversity protection
MCQ,50,Forest and wildlife resources are,Unlimited,Exhaustible,Renewable but limited,Non-renewable,Renewable but limited

Integer,1,Species on verge of extinction?,Endangered,,,,
Integer,2,Species found only in one region?,Endemic,,,,
Integer,3,Species no longer existing?,Extinct,,,,
Integer,4,Act for wildlife protection?,Wildlife Protection Act,,,,
Integer,5,Year Wildlife Protection Act?,1972,,,,
Integer,6,Most protected forest?,Reserved,,,,
